"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 27 14:56:01 ICT 2024","Thu Jun 27 14:56:03 ICT 2024","2330","chromium","get_api_request_05.spec.js","","","","Create GET API Request in playwright",""
"passed","Thu Jun 27 14:56:09 ICT 2024","Thu Jun 27 14:56:10 ICT 2024","1081","firefox","post_api_request_04.spec.js","","","","Create POST API Request using dynamic JSON file",""
"passed","Thu Jun 27 14:56:15 ICT 2024","Thu Jun 27 14:56:17 ICT 2024","1818","webkit","post_api_request_02.spec.js","","","","Create POST API Request using static JSON file",""
"passed","Thu Jun 27 14:56:01 ICT 2024","Thu Jun 27 14:56:05 ICT 2024","4639","chromium","patch_api_request_08.spec.js","","","","Create PATCH API Request in playwright",""
"passed","Thu Jun 27 14:56:10 ICT 2024","Thu Jun 27 14:56:12 ICT 2024","2504","firefox","query_parameters_06.spec.js","","","","Query parameters in playwright",""
"passed","Thu Jun 27 14:56:07 ICT 2024","Thu Jun 27 14:56:09 ICT 2024","1441","firefox","post_api_request_01.spec.js","","","","Create POST API Request using static request body",""
"passed","Thu Jun 27 14:56:10 ICT 2024","Thu Jun 27 14:56:12 ICT 2024","1339","firefox","post_api_request_03.spec.js","","","","Create POST API Request using dynamic request body",""
"passed","Thu Jun 27 14:56:16 ICT 2024","Thu Jun 27 14:56:22 ICT 2024","5339","webkit","put_api_request_07.spec.js","","","","Create PUT API Request in playwright",""
"passed","Thu Jun 27 14:56:13 ICT 2024","Thu Jun 27 14:56:14 ICT 2024","1371","webkit","post_api_request_01.spec.js","","","","Create POST API Request using static request body",""
"passed","Thu Jun 27 14:56:03 ICT 2024","Thu Jun 27 14:56:06 ICT 2024","2301","chromium","query_parameters_06.spec.js","","","","Query parameters in playwright",""
"passed","Thu Jun 27 14:56:03 ICT 2024","Thu Jun 27 14:56:07 ICT 2024","4347","chromium","put_api_request_07.spec.js","","","","Create PUT API Request in playwright",""
"passed","Thu Jun 27 14:56:06 ICT 2024","Thu Jun 27 14:56:11 ICT 2024","4318","firefox","patch_api_request_08.spec.js","","","","Create PATCH API Request in playwright",""
"passed","Thu Jun 27 14:56:09 ICT 2024","Thu Jun 27 14:56:14 ICT 2024","4797","firefox","put_api_request_07.spec.js","","","","Create PUT API Request in playwright",""
"failed","Thu Jun 27 15:08:32 ICT 2024","Thu Jun 27 15:08:34 ICT 2024","2323","chromium","endtoend_testing_09.spec.js","","","","Create DELETE API Request in playwright",""
"passed","Thu Jun 27 14:56:12 ICT 2024","Thu Jun 27 14:56:15 ICT 2024","2670","webkit","get_api_request_05.spec.js","","","","Create GET API Request in playwright",""
"passed","Thu Jun 27 14:56:17 ICT 2024","Thu Jun 27 14:56:19 ICT 2024","2169","webkit","query_parameters_06.spec.js","","","","Query parameters in playwright",""
"passed","Thu Jun 27 14:56:04 ICT 2024","Thu Jun 27 14:56:05 ICT 2024","1340","chromium","post_api_request_03.spec.js","","","","Create POST API Request using dynamic request body",""
"passed","Thu Jun 27 14:56:16 ICT 2024","Thu Jun 27 14:56:17 ICT 2024","1168","webkit","post_api_request_03.spec.js","","","","Create POST API Request using dynamic request body",""
"passed","Thu Jun 27 14:56:06 ICT 2024","Thu Jun 27 14:56:08 ICT 2024","2570","firefox","get_api_request_05.spec.js","","","","Create GET API Request in playwright",""
"passed","Thu Jun 27 14:56:01 ICT 2024","Thu Jun 27 14:56:02 ICT 2024","1447","chromium","post_api_request_02.spec.js","","","","Create POST API Request using static JSON file",""
"passed","Thu Jun 27 14:56:12 ICT 2024","Thu Jun 27 14:56:18 ICT 2024","5110","webkit","patch_api_request_08.spec.js","","","","Create PATCH API Request in playwright",""
"passed","Thu Jun 27 14:56:15 ICT 2024","Thu Jun 27 14:56:16 ICT 2024","1341","webkit","post_api_request_04.spec.js","","","","Create POST API Request using dynamic JSON file",""
"passed","Thu Jun 27 14:56:01 ICT 2024","Thu Jun 27 14:56:02 ICT 2024","1288","chromium","post_api_request_01.spec.js","","","","Create POST API Request using static request body",""
"failed","Thu Jun 27 15:08:32 ICT 2024","Thu Jun 27 15:08:34 ICT 2024","2295","webkit","endtoend_testing_09.spec.js","","","","Create DELETE API Request in playwright",""
"passed","Thu Jun 27 14:56:02 ICT 2024","Thu Jun 27 14:56:03 ICT 2024","1258","chromium","post_api_request_04.spec.js","","","","Create POST API Request using dynamic JSON file",""
"failed","Thu Jun 27 15:08:32 ICT 2024","Thu Jun 27 15:08:34 ICT 2024","2259","firefox","endtoend_testing_09.spec.js","","","","Create DELETE API Request in playwright",""
"passed","Thu Jun 27 14:56:08 ICT 2024","Thu Jun 27 14:56:09 ICT 2024","1399","firefox","post_api_request_02.spec.js","","","","Create POST API Request using static JSON file",""
